연도,시도,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,강원,,,,,,,,,,,,,,,,,,
2022,울산,,,,,,,,,,,,,,,,,,
2022,충북,,,,,,,,,,,,,,,,,,
2022,서울,,,,,,,,,,,,,,,,,,
2022,대전,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,전북,,,,,,,,,,,,,,,,,,
2022,전남,,,,,,,,,,,,,,,,,,
2022,강원,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,서울,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,충북,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,전북,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,대구,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,경남,,,,,,,,,,,,,,,,,,
2022,경남,,,,,,,,,,,,,,,,,,
2022,전북,,,,,,,,,,,,,,,,,,
2022,경남,,,,,,,,,,,,,,,,,,
2022,부산,,,,,,,,,,,,,,,,,,
2022,경남,,,,,,,,,,,,,,,,,,
2022,전남,,,,,,,,,,,,,,,,,,
2022,경남,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,경남,,,,,,,,,,,,,,,,,,
2022,경남,,,,,,,,,,,,,,,,,,
2022,부산,,,,,,,,,,,,,,,,,,
2022,전북,,,,,,,,,,,,,,,,,,
2022,경남,,,,,,,,,,,,,,,,,,
2022,부산,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,경남,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,경남,,,,,,,,,,,,,,,,,,
2022,강원,,,,,,,,,,,,,,,,,,
2022,경남,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,강원,,,,,,,,,,,,,,,,,,
2022,울산,,,,,,,,,,,,,,,,,,
2022,강원,,,,,,,,,,,,,,,,,,
2022,전남,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,경남,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,부산,,,,,,,,,,,,,,,,,,
2022,경남,,,,,,,,,,,,,,,,,,
2022,서울,,,,,,,,,,,,,,,,,,
2022,전북,,,,,,,,,,,,,,,,,,
2022,대구,,,,,,,,,,,,,,,,,,
2022,충북,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,전북,,,,,,,,,,,,,,,,,,
2022,충남,,,,,,,,,,,,,,,,,,
2022,강원,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,경남,,,,,,,,,,,,,,,,,,
2022,경남,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,전북,,,,,,,,,,,,,,,,,,
2022,경남,,,,,,,,,,,,,,,,,,
2022,강원,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,경남,,,,,,,,,,,,,,,,,,
2022,울산,,,,,,,,,,,,,,,,,,
2022,강원,,,,,,,,,,,,,,,,,,
2022,강원,,,,,,,,,,,,,,,,,,
2022,충남,,,,,,,,,,,,,,,,,,
2022,충남,,,,,,,,,,,,,,,,,,
2022,강원,,,,,,,,,,,,,,,,,,
2022,전남,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,경남,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,충남,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,강원,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,전북,,,,,,,,,,,,,,,,,,
2022,전북,,,,,,,,,,,,,,,,,,
2022,충북,,,,,,,,,,,,,,,,,,
2022,충남,,,,,,,,,,,,,,,,,,
2022,전북,,,,,,,,,,,,,,,,,,
2022,경남,,,,,,,,,,,,,,,,,,
2022,강원,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,충북,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,전북,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,전남,,,,,,,,,,,,,,,,,,
2022,전남,,,,,,,,,,,,,,,,,,
2022,서울,,,,,,,,,,,,,,,,,,
2022,충남,,,,,,,,,,,,,,,,,,
2022,강원,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,강원,,,,,,,,,,,,,,,,,,
2022,전북,,,,,,,,,,,,,,,,,,
2022,충북,,,,,,,,,,,,,,,,,,
2022,전남,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,부산,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,충북,,,,,,,,,,,,,,,,,,
2022,경남,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,전남,,,,,,,,,,,,,,,,,,
2022,전남,,,,,,,,,,,,,,,,,,
2022,충북,,,,,,,,,,,,,,,,,,
2022,강원,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,충남,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,전남,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,강원,,,,,,,,,,,,,,,,,,
2022,대구,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,전남,,,,,,,,,,,,,,,,,,
2022,전북,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,강원,,,,,,,,,,,,,,,,,,
2022,경남,,,,,,,,,,,,,,,,,,
2022,세종,,,,,,,,,,,,,,,,,,
2022,충북,,,,,,,,,,,,,,,,,,
2022,강원,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,충남,,,,,,,,,,,,,,,,,,
2022,강원,,,,,,,,,,,,,,,,,,
2022,충남,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,대전,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,충북,,,,,,,,,,,,,,,,,,
2022,전북,,,,,,,,,,,,,,,,,,
2022,강원,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,강원,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,충남,,,,,,,,,,,,,,,,,,
2022,충남,,,,,,,,,,,,,,,,,,
2022,충남,,,,,,,,,,,,,,,,,,
2022,강원,,,,,,,,,,,,,,,,,,
2022,충남,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,강원,,,,,,,,,,,,,,,,,,
2022,경남,,,,,,,,,,,,,,,,,,
2022,대구,,,,,,,,,,,,,,,,,,
2022,충남,,,,,,,,,,,,,,,,,,
2022,대구,,,,,,,,,,,,,,,,,,
2022,충남,,,,,,,,,,,,,,,,,,
2022,경남,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,대구,,,,,,,,,,,,,,,,,,
2022,강원,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,충남,,,,,,,,,,,,,,,,,,
2022,전북,,,,,,,,,,,,,,,,,,
2022,인천,,,,,,,,,,,,,,,,,,
2022,충남,,,,,,,,,,,,,,,,,,
2022,전북,,,,,,,,,,,,,,,,,,
2022,대구,,,,,,,,,,,,,,,,,,
2022,전북,,,,,,,,,,,,,,,,,,
2022,경남,,,,,,,,,,,,,,,,,,
2022,전북,,,,,,,,,,,,,,,,,,
2022,대구,,,,,,,,,,,,,,,,,,
2022,인천,,,,,,,,,,,,,,,,,,
2022,울산,,,,,,,,,,,,,,,,,,
2022,전북,,,,,,,,,,,,,,,,,,
2022,경남,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,전북,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,전남,,,,,,,,,,,,,,,,,,
2022,강원,,,,,,,,,,,,,,,,,,
2022,전남,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,전남,,,,,,,,,,,,,,,,,,
2022,대구,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,충남,,,,,,,,,,,,,,,,,,
2022,강원,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,전남,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,전북,,,,,,,,,,,,,,,,,,
2022,전남,,,,,,,,,,,,,,,,,,
2022,충남,,,,,,,,,,,,,,,,,,
2022,충남,,,,,,,,,,,,,,,,,,
2022,강원,,,,,,,,,,,,,,,,,,
2022,전남,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,울산,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,충북,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,강원,,,,,,,,,,,,,,,,,,
2022,대구,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,경남,,,,,,,,,,,,,,,,,,
2022,전북,,,,,,,,,,,,,,,,,,
2022,전남,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,강원,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,경남,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,강원,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,강원,,,,,,,,,,,,,,,,,,
2022,강원,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,부산,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,경남,,,,,,,,,,,,,,,,,,
2022,대구,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,충남,,,,,,,,,,,,,,,,,,
2022,충남,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,충남,,,,,,,,,,,,,,,,,,
2022,경남,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,전북,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,전남,,,,,,,,,,,,,,,,,,
2022,충남,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,전북,,,,,,,,,,,,,,,,,,
2022,전북,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,전남,,,,,,,,,,,,,,,,,,
2022,경남,,,,,,,,,,,,,,,,,,
2022,충남,,,,,,,,,,,,,,,,,,
2022,전남,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,전북,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,경남,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,인천,,,,,,,,,,,,,,,,,,
2022,경남,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,인천,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,충남,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,충남,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,세종,,,,,,,,,,,,,,,,,,
2022,강원,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,울산,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,충북,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,서울,,,,,,,,,,,,,,,,,,
2022,울산,,,,,,,,,,,,,,,,,,
2022,전북,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,전북,,,,,,,,,,,,,,,,,,
2022,충남,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,전북,,,,,,,,,,,,,,,,,,
2022,경남,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,전남,,,,,,,,,,,,,,,,,,
2022,서울,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,경남,,,,,,,,,,,,,,,,,,
2022,강원,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,경남,,,,,,,,,,,,,,,,,,
2022,경남,,,,,,,,,,,,,,,,,,
2022,경남,,,,,,,,,,,,,,,,,,
2022,부산,,,,,,,,,,,,,,,,,,
2022,충남,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,경남,,,,,,,,,,,,,,,,,,
2022,전북,,,,,,,,,,,,,,,,,,
2022,강원,,,,,,,,,,,,,,,,,,
2022,전남,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,강원,,,,,,,,,,,,,,,,,,
2022,경남,,,,,,,,,,,,,,,,,,
2022,전북,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,전북,,,,,,,,,,,,,,,,,,
2022,전남,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,충남,,,,,,,,,,,,,,,,,,
2022,충남,,,,,,,,,,,,,,,,,,
2022,충남,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,울산,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,전북,,,,,,,,,,,,,,,,,,
2022,전북,,,,,,,,,,,,,,,,,,
2022,경남,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,전북,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,전북,,,,,,,,,,,,,,,,,,
2022,강원,,,,,,,,,,,,,,,,,,
2022,제주,,,,,,,,,,,,,,,,,,
2022,울산,,,,,,,,,,,,,,,,,,
2022,충남,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,대구,,,,,,,,,,,,,,,,,,
2022,경남,,,,,,,,,,,,,,,,,,
2022,경남,,,,,,,,,,,,,,,,,,
2022,울산,,,,,,,,,,,,,,,,,,
2022,경남,,,,,,,,,,,,,,,,,,
2022,충남,,,,,,,,,,,,,,,,,,
2022,부산,,,,,,,,,,,,,,,,,,
2022,경남,,,,,,,,,,,,,,,,,,
2022,대구,,,,,,,,,,,,,,,,,,
2022,경남,,,,,,,,,,,,,,,,,,
2022,충남,,,,,,,,,,,,,,,,,,
2022,충남,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,경남,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,충남,,,,,,,,,,,,,,,,,,
2022,경남,,,,,,,,,,,,,,,,,,
2022,강원,,,,,,,,,,,,,,,,,,
2022,강원,,,,,,,,,,,,,,,,,,
2022,경남,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,서울,,,,,,,,,,,,,,,,,,
2022,충남,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,강원,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,인천,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,경남,,,,,,,,,,,,,,,,,,
2022,부산,,,,,,,,,,,,,,,,,,
2022,충남,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,충북,,,,,,,,,,,,,,,,,,
2022,전남,,,,,,,,,,,,,,,,,,
2022,경남,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,전북,,,,,,,,,,,,,,,,,,
2022,울산,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,충남,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,충남,,,,,,,,,,,,,,,,,,
2022,충남,,,,,,,,,,,,,,,,,,
2022,충남,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,울산,,,,,,,,,,,,,,,,,,
2022,충북,,,,,,,,,,,,,,,,,,
2022,대구,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,강원,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,부산,,,,,,,,,,,,,,,,,,
2022,전남,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,충북,,,,,,,,,,,,,,,,,,
2022,전남,,,,,,,,,,,,,,,,,,
2022,강원,,,,,,,,,,,,,,,,,,
2022,인천,,,,,,,,,,,,,,,,,,
2022,경남,,,,,,,,,,,,,,,,,,
2022,충북,,,,,,,,,,,,,,,,,,
2022,울산,,,,,,,,,,,,,,,,,,
2022,경남,,,,,,,,,,,,,,,,,,
2022,전남,,,,,,,,,,,,,,,,,,
2022,전남,,,,,,,,,,,,,,,,,,
2022,전남,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,경남,,,,,,,,,,,,,,,,,,
2022,강원,,,,,,,,,,,,,,,,,,
2022,강원,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,광주,,,,,,,,,,,,,,,,,,
2022,강원,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,서울,,,,,,,,,,,,,,,,,,
2022,충남,,,,,,,,,,,,,,,,,,
2022,강원,,,,,,,,,,,,,,,,,,
2022,충남,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,인천,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,경남,,,,,,,,,,,,,,,,,,
2022,강원,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,경북,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,경기,,,,,,,,,,,,,,,,,,
2022,전북,,,,,,,,,,,,,,,,,,
